ntw,sta,chn,lat,lon,elv
5L,ACHE,U,-42.3988,172.9704,754
5L,AIRS,U,-42.0226,173.7213,678
5L,ALMA,U,-42.205,172.9435,984
5L,AMUR,U,-42.3554,173.1795,662
5L,ASCH,U,-41.5925,173.8445,175
5L,AVON,U,-41.6679,173.6434,261
5L,BRAN,U,-41.9031,173.0717,1720
5L,CLAR,U,-42.1741,173.4862,508
5L,CLOU,U,-42.4355,173.267,458
5L,COBB,U,-41.5471,173.9984,195
5L,CORL,U,-41.8135,173.9019,351
5L,DIGG,U,-42.1108,173.5911,789
5L,EMIL,U,-42.1181,172.5118,502
5L,EMPS,U,-42.5799,172.7281,409
5L,GLAD,U,-41.9185,173.5602,648
5L,GLAZ,U,-41.749,173.4021,574
5L,GLEN,U,-42.254,172.3274,1351
5L,GORE,U,-42.2637,173.3419,754
5L,HANM,U,-42.6554,172.8165,452
5L,HENR,U,-42.3501,172.5925,793
5L,HOSS,U,-42.5278,172.9669,528
5L,KENN,U,-41.6329,174.0245,53
5L,LEAD,U,-42.3682,172.8652,901
5L,LEAT,U,-41.7747,173.2259,545
5L,MCRA,U,-41.8373,173.734,433
5L,MEAD,U,-41.9493,173.8305,547
5L,MRCH,U,-41.5385,173.6487,171
5L,NEED,U,-41.7496,174.0286,325
5L,NGAI,U,-42.066,173.9081,251
5L,PASK,U,-42.0873,172.7712,1547
5L,PINO,U,-41.7447,173.5902,437
5L,RAGL,U,-41.7437,173.033,572
5L,RAIN,U,-41.9862,172.8885,821
5L,ROSS,U,-42.3222,173.6581,330
5L,SAXT,U,-41.954,173.1995,1381
5L,SEVE,U,-42.0337,173.0395,1205
5L,SNOW,U,-42.3,173.5776,970
5L,TENN,U,-42.201,172.7744,1146
5L,TENT,U,-42.2956,173.4419,945
5L,TINJ,U,-42.4677,172.5738,589
5L,TOPH,U,-42.4078,172.7334,799
5L,TWEE,U,-42.2284,173.2145,1198
5L,WAIH,U,-41.8473,173.3454,655
5L,WALK,U,-41.6036,173.4799,329
5L,WARD,U,-41.8389,174.1591,241
5L,WYEH,U,-41.6416,173.3301,278
5L,YANK,U,-42.2597,172.6037,1552
DP,AGR,U,-42.2877,173.0281,908
DP,APD,U,-41.6841,173.1911,385
DP,BVL,U,-42.5213,172.4027,659
DP,CCB,U,-41.7555,174.2022,130
DP,CR1,U,-42.328,172.7737,950
DP,CRF,U,-42.603,173.4447,68
DP,GBR,U,-42.8308,173.2766,95
DP,GOT,U,-42.7792,172.5534,406
DP,GVR,U,-41.4136,173.122,78
DP,GWS,U,-42.6133,172.4332,659
DP,IKR,U,-42.4018,173.3913,436
DP,JSP,U,-42.4778,172.8228,876
DP,KVR,U,-41.9593,173.9755,143
DP,LWP,U,-42.3754,172.3934,992
DP,MES,U,-41.9914,172.5135,430
DP,MHR,U,-41.9896,173.4378,716
DP,MLF,U,-42.5067,173.1545,456
DP,NMC,U,-42.1032,172.9095,959
DP,NZ2,U,-42.7986,172.9633,234
DP,RSR,U,-41.88,172.8587,1437
DP,SJQ,U,-42.3485,172.1603,506
DP,SRB,U,-42.1541,173.0846,892
DP,SVR,U,-42.2229,173.7993,370
DP,TGF,U,-42.5963,173.1078,296
DP,WDP,U,-42.0931,173.1934,1055
NZ,AMCZ,U,-43.1765,172.6515,163
NZ,ANWZ,U,-40.4597,176.4751,132
NZ,ARCZ,U,-43.947,171.1767,463
NZ,BFZ,U,-40.6796,176.2462,271
NZ,BHHZ,U,-39.4893,176.0629,831
NZ,BHW,U,-41.4082,174.8711,83
NZ,BSWZ,U,-41.7149,173.8757,234
NZ,CAW,U,-41.1072,175.0664,248
NZ,CMWZ,U,-41.749,174.2138,236
NZ,CPWZ,U,-40.9098,176.2016,181
NZ,CRSZ,U,-42.1446,173.8154,894
NZ,DBHZ,U,-43.2883,171.3154,693
NZ,DSZ,U,-41.745,171.8046,647
NZ,DUWZ,U,-40.8017,173.9216,460
NZ,DVHZ,U,-40.2989,176.1666,469
NZ,GVZ,U,-42.9674,173.0348,360
NZ,HOWZ,U,-40.8973,175.5151,433
NZ,HPRZ,U,-42.608,171.7726,1112
NZ,IFMZ,U,-43.0238,171.0608,1336
NZ,INZ,U,-42.7245,171.4441,135
NZ,KHZ,U,-42.416,173.539,63
NZ,KIW,U,-40.8609,174.9097,339
NZ,KRHZ,U,-39.6449,176.3699,530
NZ,LREZ,U,-39.4602,174.4027,183
NZ,LTZ,U,-42.7817,172.271,635
NZ,MHCZ,U,-43.5316,171.5679,623
NZ,MQZ,U,-43.7061,172.6538,59
NZ,MRNZ,U,-41.399,172.7577,313
NZ,MRZ,U,-40.6605,175.5785,299
NZ,MSWZ,U,-41.4158,175.2495,355
NZ,MTVZ,U,-39.3846,175.4704,799
NZ,MTW,U,-41.1579,175.5016,267
NZ,MWOZ,U,-39.3974,174.087,391
NZ,NMEZ,U,-39.4132,173.8775,88
NZ,NNZ,U,-41.2117,173.3795,123
NZ,OGWZ,U,-40.8167,175.1703,214
NZ,OHWZ,U,-40.2056,175.3151,29
NZ,OKCZ,U,-43.7232,173.0595,457
NZ,OXZ,U,-43.3259,172.0383,337
NZ,PAWZ,U,-41.3816,175.4269,513
NZ,PLWZ,U,-41.5692,175.2548,579
NZ,POWZ,U,-40.3917,175.768,295
NZ,PRWZ,U,-40.5547,175.971,303
NZ,QRZ,U,-40.8255,172.5291,262
NZ,RACZ,U,-43.7271,172.1396,77
NZ,RPZ,U,-43.7146,171.0539,493
NZ,SNZO,U,-41.3087,174.7043,142
NZ,TCW,U,-41.2104,174.2763,150
NZ,THZ,U,-41.7625,172.9052,759
NZ,TIWZ,U,-40.776,175.8857,559
NZ,TKNZ,U,-41.0336,172.9605,389
NZ,TMWZ,U,-41.1066,175.8905,529
NZ,TRWZ,U,-41.398,175.6879,379
NZ,TSZ,U,-40.0586,175.9611,582
NZ,TUWZ,U,-41.4294,173.9429,81
NZ,WACZ,U,-43.9425,171.8391,60
NZ,WAZ,U,-39.7546,174.9855,407
NZ,WEL,U,-41.284,174.7682,125
NZ,WMVZ,U,-41.8845,174.0516,120
NZ,WLCZ,U,-41.3044,174.7828,59
NZ,WPHZ,U,-40.0643,176.4406,350
NZ,WRRZ,U,-41.455,175.4557,214
